condition,reconstruction_error,centroid,bandwidth,dominant_freq
normal,0.036961954,1515.0571605461466,1664.492051454138,1075.6000000000001
normal,0.036367163,1563.1388277766403,1701.8942718163528,1000.3000000000001
normal,0.036416378,1508.111575761548,1670.064870042257,1190.2
normal,0.035913374,1448.2431431764692,1621.9618092678832,1190.3
normal,0.03638631,1423.771925671978,1631.591812297633,1410.5
normal,0.036142193,1557.868921942234,1703.7025969252102,1189.5
normal,0.03700928,1434.7175380259955,1619.013821142855,1031.7
normal,0.036396198,1454.6685070777282,1623.720114411564,1220.0
normal,0.035874598,1420.41572959487,1610.6581032236327,1219.7
normal,0.03592222,1430.1076572273973,1617.5196797286565,1082.7
normal,0.03658314,1502.6247086296407,1662.4658209463587,1004.2
normal,0.036397677,1416.9061109845109,1620.1799264024164,1191.1000000000001
normal,0.03637699,1416.3976487251427,1630.4068448830064,1006.2
normal,0.0358971,1416.8377801417123,1614.081436743013,1343.7
normal,0.035909124,1412.3613628826402,1625.20281503264,1182.5
normal,0.03705307,1515.2010130576632,1709.0009144730166,1191.0
normal,0.03655782,1496.9718986952748,1642.8640583363378,1015.2
normal,0.03624929,1545.969127824886,1726.4114317636634,1189.9
normal,0.03617253,1414.655327098491,1610.9653783711763,1217.3
normal,0.03597334,1417.2841510186622,1617.9210305415468,1191.4
normal,0.035779357,1464.710378987624,1637.2360052276326,1172.9
normal,0.036773734,1426.4674490407747,1623.4136490211392,1027.0
normal,0.035995863,1419.9162770652517,1632.6069977456166,1034.3
normal,0.03607205,1429.9846987853618,1624.2468672124542,1189.2
normal,0.03646633,1437.9760647109217,1612.6542872684079,1191.3
normal,0.036585994,1500.1731687796748,1672.1712328115905,1190.3
normal,0.0354381,1431.5472534743035,1615.7777082357986,1216.6000000000001
normal,0.03688746,1516.736944916295,1657.864011999711,1596.0
normal,0.03867226,1765.6406349670335,1783.4930154171827,1079.1000000000001
normal,0.03600023,1436.9044377611986,1621.8482768421034,1345.0
normal,0.03589983,1420.7324898530044,1610.556278382594,1491.8000000000002
normal,0.036096066,1413.82309190185,1603.6110254296925,1345.7
normal,0.03616568,1519.2575112576703,1641.0639589571074,1674.6000000000001
normal,0.036410514,1420.447658112355,1610.8903736370235,1294.3000000000002
normal,0.035821907,1413.7612405647928,1607.6255791415267,1644.3000000000002
normal,0.03608804,1429.0056568355674,1612.5519627142157,1216.5
normal,0.036738917,1621.064695879149,1780.267979247334,1191.4
normal,0.036438495,1516.3542842373367,1624.8808504841602,1716.4
normal,0.036296956,1590.2878393668773,1724.1093410060328,1190.5
normal,0.03644097,1428.1379455076267,1624.932054900182,1188.7
normal,0.036119685,1457.2604343223618,1644.7457751250265,1215.6000000000001
normal,0.03639076,1407.8059767889129,1627.5851445309884,1298.7
normal,0.035764225,1421.507601211239,1627.1466673653272,1013.0
normal,0.036732376,1859.190485378728,1794.7662390788353,1050.6000000000001
normal,0.036790375,1510.8736839062149,1666.847105335166,1130.6000000000001
normal,0.035709552,1431.1467151100621,1615.985471534873,1493.5
normal,0.036341786,1406.5565471479495,1602.1915159706114,1244.1000000000001
normal,0.036536332,1632.136764538965,1765.5399868136008,1191.2
normal,0.035877354,1420.2679641647821,1606.0913270855083,1034.3
normal,0.03663729,1551.604310074212,1735.8734520580092,1190.9
normal,0.03673912,1562.8131415179548,1664.3942189737843,1079.5
normal,0.03707513,1532.7042994889603,1686.705321679399,1190.9
normal,0.03604501,1444.4615890538273,1622.6076923720836,1190.9
normal,0.036570713,1493.623726954627,1680.4205118213927,1192.6000000000001
normal,0.03626228,1521.3984568015094,1670.4054753211115,1036.5
normal,0.036096834,1436.7474454436058,1618.7662944612557,1345.7
normal,0.03622619,1425.5787433947667,1612.574334876447,1216.9
normal,0.036334284,1430.6870324300257,1617.8137033882062,1643.8000000000002
normal,0.03592678,1428.1354943281056,1614.7362731125174,1493.9
normal,0.0359944,1414.5764654907186,1629.2239061969372,1057.7
normal,0.03703904,1517.0633589045951,1686.0428260712079,1190.6000000000001
normal,0.036348637,1499.8378712149658,1681.379244890625,1191.7
normal,0.036088817,1505.1044227618618,1677.902277418279,1190.9
normal,0.036300957,1507.120955563552,1681.4679570099545,1191.0
normal,0.036489006,1457.5785230396668,1634.7648466614016,1093.8
normal,0.03588695,1544.9245714140861,1687.801900685782,1189.9
normal,0.036594313,1451.4809742401933,1626.418817565737,1494.6000000000001
normal,0.03652798,1426.5987155178243,1617.663602614165,1045.1000000000001
normal,0.036555085,1647.6114956874567,1780.9201190443932,1189.5
normal,0.036822297,1493.4039588175024,1686.122773097291,1191.9
normal,0.03629747,1418.4531876120052,1609.7688113982,1216.6000000000001
normal,0.03651303,1504.2067669146115,1686.820846542978,1115.1000000000001
normal,0.035825416,1400.6250500051458,1611.525223565389,1041.2
normal,0.037154723,1457.8270126278794,1615.2298766000706,1494.8000000000002
normal,0.036252122,1414.3767254867264,1617.0301489137253,1189.5
normal,0.03673652,1588.963101011523,1750.15001317962,1058.7
normal,0.036105208,1415.921229659957,1610.7104304726229,1095.1000000000001
normal,0.03688286,1509.5497756559791,1663.4544217372488,1390.3000000000002
normal,0.03647308,1500.8101080467168,1680.9957504395277,1191.4
normal,0.036717266,1510.6719887568406,1674.8195109469398,1331.8000000000002
normal,0.035958998,1650.860460406911,1746.3366703866106,1105.0
normal,0.036109306,1417.8401379422505,1607.3140735868376,1444.5
normal,0.036717765,1421.8408855075152,1622.6423976543954,1189.9
normal,0.035749175,1431.5764226011936,1615.557989222008,1096.8
normal,0.037282906,1498.7698353020396,1657.4000191786006,1024.6000000000001
normal,0.035983294,1415.2084361709149,1605.3578402868654,1492.5
normal,0.035666585,1434.1402902263058,1617.538150959884,1495.3000000000002
normal,0.036075283,1440.340527354527,1619.2552839536786,1213.1000000000001
normal,0.036152944,1501.6278233492365,1661.3868051693958,1046.0
normal,0.035979252,1428.4450569836097,1622.8592089781544,1191.1000000000001
normal,0.036085658,1417.8310319136313,1609.5005615078405,1344.0
normal,0.03620533,1421.2468424228318,1614.082138139177,1214.8
normal,0.035966303,1432.3322630027653,1618.3733374605843,1345.5
normal,0.0367337,1411.5349944614022,1626.0112366819533,1007.6
