id,condition,dominant_freq,centroid,bandwidth,energy
id_00,normal,1153.6000000000001,974.0007705077446,1373.3522903454605,3.1430156
id_00,normal,1296.5,1106.0162010182714,1424.8933591880686,3.0626087
id_00,normal,1046.2,1047.4552631260933,1398.4062577377572,3.335223
id_00,normal,1358.1000000000001,1126.0595949105652,1399.056067016734,3.28884
id_00,normal,1190.1000000000001,1405.8193887359243,1782.313633900469,3.0376804
id_00,normal,1294.5,1094.9932348637242,1436.3213562019205,3.0552745
id_00,normal,1191.2,1132.7040108324488,1534.6596861286919,3.2066708
id_00,normal,1145.5,1605.9686644790565,1826.5267998507854,2.86278
id_00,normal,1182.3,1003.0298704112956,1407.6831282538683,2.9508533
id_00,normal,1427.2,1466.2156349267314,1713.412439396198,3.1434238
id_00,normal,1189.4,1043.384219443563,1423.690304236241,3.1264358
id_00,normal,1190.4,1198.9378599235886,1601.1015159027816,2.9561312
id_00,normal,1192.7,1077.4959816047917,1429.7278593480694,2.9811206
id_00,normal,1329.2,1172.5269295222988,1577.87019897254,2.8943863
id_00,normal,1411.2,1000.4288770357508,1401.5318941460237,3.1668653
id_00,normal,1190.7,1224.7741220743246,1683.5207921044412,3.3285968
id_00,normal,1191.8,1214.2549161718644,1658.0244623733097,3.1887374
id_00,normal,1085.5,1165.3683824427515,1554.9525455739351,2.9248712
id_00,normal,1081.8,1178.6117899853612,1584.0011522415607,2.9794753
id_00,normal,1182.5,968.4775067875917,1378.1577011992922,3.396173
id_00,normal,1217.3,1043.645837783793,1390.6890742958924,3.125832
id_00,normal,1190.9,1069.7074351948047,1464.6250192923185,3.3813686
id_00,normal,1191.4,1276.0887519565274,1702.664081818625,3.1679173
id_00,normal,1019.7,1337.2284429398956,1713.0131340892285,2.83028
id_00,normal,1018.4000000000001,1142.5183529412222,1541.160237355443,3.228864
id_00,normal,1190.8,1042.4205546739736,1425.058206766925,3.3355417
id_00,normal,1245.4,1058.7721921724851,1401.5649613444418,3.1329093
id_00,normal,1190.7,1207.3954748471328,1618.8976497488738,3.0716786
id_00,normal,1192.1000000000001,1135.0289249815933,1567.0228330393934,3.1516278
id_00,normal,1296.7,1089.1734864190005,1434.3387718973793,3.4224439
id_00,normal,1189.9,1194.7088499020335,1606.3034734409314,2.9538474
id_00,normal,1181.3,1007.2973338150599,1423.0126992606265,3.1505811
id_00,normal,1494.2,1059.859846269313,1401.974345234094,3.096103
id_00,normal,1167.5,1153.3309046617794,1586.289659266951,3.2415068
id_00,normal,1079.4,1165.1726646817795,1556.3093664847968,2.9406579
id_00,normal,1190.7,1177.8177559058884,1575.1983749701988,3.1631973
id_00,normal,1315.7,1369.609037313074,1448.085108206226,2.900637
id_00,normal,1136.0,1193.6311562700034,1595.6409294037153,2.8918347
