condition,reconstruction_error,centroid,bandwidth,dominant_freq
normal,0.031025605,1004.3431016722391,1430.6551030993307,1182.6000000000001
normal,0.031228164,1150.2239156744724,1568.0577856295902,1078.2
normal,0.03136681,1027.7641609677073,1390.7282929273367,1191.2
normal,0.030709017,988.784037401549,1411.0134097359778,1158.9
normal,0.031215947,1159.0241615110792,1571.9155035643757,1066.3
normal,0.031122882,965.0521575057594,1396.3749341654695,1008.8000000000001
normal,0.031712838,1145.927162084833,1547.4736786241529,1126.1000000000001
normal,0.031031264,1179.2408897745975,1608.6841986606337,1191.0
normal,0.034200814,1025.779751157025,1410.6690824821594,1355.5
normal,0.031136561,1191.473558853871,1631.7794238645783,1191.8
normal,0.031205695,954.0142728180572,1389.2828430210761,1058.3
normal,0.030259306,943.2803804574522,1380.0588893794072,1628.5
normal,0.03117298,1335.2836525575142,1649.8869985630447,1154.9
normal,0.030724138,1016.0479464826959,1359.538965841673,1493.2
normal,0.031262293,1555.4806378320866,1996.6292829999447,1191.5
normal,0.030649558,1015.5342587018213,1411.825681686749,1415.1000000000001
normal,0.030706773,1062.2693839146389,1428.2321539897375,1215.1000000000001
normal,0.031108482,1203.6912424368163,1603.7126786334002,1000.5
normal,0.031087443,1054.7479910312213,1404.4476942551807,1494.6000000000001
normal,0.030934207,1043.645837783793,1390.6890742958924,1217.3
normal,0.030519657,1065.6876422816172,1421.7329534562293,1494.7
normal,0.03077908,1158.4468817568008,1560.4282247674107,1131.8
normal,0.031090884,1141.3118043899285,1562.0723723376032,1191.5
normal,0.03067033,1192.035178943062,1597.4543750807868,1191.8
normal,0.030560022,1041.6279561634124,1397.3791360908308,1082.6000000000001
normal,0.031376094,975.1621344129342,1407.1548546381532,1170.1000000000001
normal,0.03110222,1233.8494951590847,1534.6850450133422,1640.4
normal,0.030818816,1164.2807965335492,1573.3000212366303,1128.2
normal,0.033349786,1194.1132155658147,1544.133270117188,1345.8000000000002
normal,0.030398583,948.4511218045878,1385.8364116794437,1181.9
normal,0.030113667,1208.7464531907651,1526.932607848374,1008.1
normal,0.030304609,1493.4234354057335,1640.4602595816586,1154.9
normal,0.030748516,1055.934135628915,1417.3435017156705,1495.7
normal,0.03034273,1028.3400490909528,1392.066972237565,1246.6000000000001
normal,0.03078052,1028.341776885607,1419.0879400497597,1191.7
normal,0.031198652,1160.7808307910323,1578.0379780977162,1128.5
normal,0.031472646,1162.8355928812182,1582.2398839908185,1015.4000000000001
normal,0.03129998,1164.869098436912,1575.3781853425212,1124.3
normal,0.030942224,1168.4412463306467,1565.9364473722435,1392.1000000000001
normal,0.030681293,1041.7927320956558,1412.2487758538637,1189.9
normal,0.031000808,956.8625843351439,1361.029369608835,1412.4
normal,0.03051264,1592.38846537955,1752.425697945655,1003.9000000000001
normal,0.030192908,1047.9667955634634,1403.5327785401294,1294.9
normal,0.031501196,1180.816382577898,1611.8370888042743,1013.9000000000001
normal,0.030194238,985.1434853679785,1351.0853208609626,1218.4
normal,0.029994529,1029.5878607043464,1387.9797163376577,1442.8000000000002
normal,0.030493103,1044.1745181708866,1402.6996214542557,1217.3
normal,0.030177351,1033.702472616307,1388.9621537107012,1494.8000000000002
normal,0.03079205,998.8669493560238,1352.4855947588665,1344.5
normal,0.03120115,1151.8618258669553,1550.4365056060801,1124.9
normal,0.03137034,1190.2963557662317,1579.7006359805016,1123.5
